LNR,RESPONSE
1754,0.79024738073349
1770,0.7168107628822327
1465,0.1235943287611007
1470,0.1044626906514167
1478,0.1722166091203689
1782,0.178923562169075
1485,0.1663939356803894
1519,0.7142820358276367
1835,0.5652504563331604
1522,0.1648816913366317
1539,0.1489857584238052
1853,0.7514725923538208
1856,0.572896420955658
2502,0.2483028173446655
2182,0.7252640128135681
2191,0.746550977230072
2522,0.5641096234321594
2530,0.6686923503875732
2215,0.1072881817817688
2550,0.6931694746017456
2570,0.2508870363235473
2574,0.0914711281657219
2579,0.2348408252000808
2247,0.7305994033813477
2674,0.1374727487564087
11434,0.173088788986206
11122,0.6714426875114441
11127,0.1
11443,0.7389748692512512
11170,0.4550731778144836
11191,0.0772315338253974
11198,0.6560995578765869
10936,0.4853929877281189
11244,0.3685374557971954
11247,0.6346029043197632
11252,0.2597978413105011
11259,0.5151946544647217
10945,0.1072886064648628
10951,0.1507260501384735
11271,0.643052339553833
10963,0.710899829864502
11282,0.1830314844846725
11291,0.1144868358969688
10980,0.084891490638256
10994,0.0965016111731529
10998,0.4635394215583801
11303,0.4649501442909241
11630,0.1
11636,0.1993208825588226
11949,0.1490515917539596
11950,0.5542410016059875
11956,0.6458860635757446
11648,0.4635394215583801
11653,0.6222665905952454
11967,0.13954858481884
11972,0.1458923816680908
11975,0.1860867738723755
12110,0.2072022557258606
12113,0.7074601650238037
11712,0.0959813967347145
11716,0.4552640616893768
12000,0.0949554666876792
11722,0.6182008385658264
12023,0.4635394215583801
12046,0.1876831501722335
11762,0.4849591553211212
12071,0.1490266323089599
12077,0.1075246632099151
11785,0.6392115950584412
11788,0.1335965543985366
11790,0.0976280495524406
11800,0.6004713177680969
11806,0.1327100694179535
11816,0.0989160016179084
11505,0.1627149730920791
11837,0.197795569896698
11531,0.7284603714942932
11848,0.1979721635580063
11854,0.0963267460465431
11877,0.1740322709083557
11563,0.0961813405156135
11567,0.1595144718885421
11894,0.1897444278001785
11906,0.2281703054904937
11917,0.4635394215583801
11610,0.4635394215583801
11923,0.1860303431749344
12596,0.1513149440288543
12603,0.13188137114048
12608,0.1525695174932479
12633,0.229694202542305
12637,0.3397265970706939
21484,0.5151946544647217
21184,0.0705085918307304
21247,0.1968253403902053
20991,0.683198094367981
21018,0.2070995718240738
21019,0.7615245580673218
21047,0.1016126871109008
21054,0.1138553470373153
21374,0.1602744162082672
21392,0.1538699865341186
21713,0.1192883402109146
22019,0.1653509140014648
22025,0.6666077375411987
